Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,414,Kuwait,KWT,01,Live animals,1,No Quantity,,,2311154,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,417,Kyrgyzstan,KGZ,01,Live animals,1,No Quantity,,,180781,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,422,Lebanon,LBN,01,Live animals,1,No Quantity,,,430661,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,428,Latvia,LVA,01,Live animals,1,No Quantity,,,5703,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,434,Libya,LBY,01,Live animals,1,No Quantity,,,264129,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,440,Lithuania,LTU,01,Live animals,1,No Quantity,,,190,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,442,Luxembourg,LUX,01,Live animals,1,No Quantity,,,8924,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,442,Luxembourg,LUX,01,Live animals,1,No Quantity,,,12807,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,446,"China, Macao SAR",MAC,01,Live animals,1,No Quantity,,,316264,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,450,Madagascar,MDG,01,Live animals,1,No Quantity,,,2852,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,454,Malawi,MWI,01,Live animals,1,No Quantity,,,62843,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,458,Malaysia,MYS,01,Live animals,1,No Quantity,,,4626,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,458,Malaysia,MYS,01,Live animals,1,No Quantity,,,1440533,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,466,Mali,MLI,01,Live animals,1,No Quantity,,,91444,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,470,Malta,MLT,01,Live animals,1,No Quantity,,,1465,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,480,Mauritius,MUS,01,Live animals,1,No Quantity,,,53459,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,480,Mauritius,MUS,01,Live animals,1,No Quantity,,,185758,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,484,Mexico,MEX,01,Live animals,1,No Quantity,,,3798,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,01,Live animals,1,No Quantity,,,14826,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,504,Morocco,MAR,01,Live animals,1,No Quantity,,,202276,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,504,Morocco,MAR,01,Live animals,1,No Quantity,,,821956,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,512,Oman,OMN,01,Live animals,1,No Quantity,,,129648,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,524,Nepal,NPL,01,Live animals,1,No Quantity,,,131157,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,528,Netherlands,NLD,01,Live animals,1,No Quantity,,,13246305,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,01,Live animals,1,No Quantity,,,37251952,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,533,Aruba,ABW,01,Live animals,1,No Quantity,,,2895,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,554,New Zealand,NZL,01,Live animals,1,No Quantity,,,703175,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,554,New Zealand,NZL,01,Live animals,1,No Quantity,,,5923176,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,566,Nigeria,NGA,01,Live animals,1,No Quantity,,,1634,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,566,Nigeria,NGA,01,Live animals,1,No Quantity,,,169002,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,579,Norway,NOR,01,Live animals,1,No Quantity,,,309353,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,579,Norway,NOR,01,Live animals,1,No Quantity,,,3354808,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,586,Pakistan,PAK,01,Live animals,1,No Quantity,,,1290541,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,608,Philippines,PHL,01,Live animals,1,No Quantity,,,88641,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,608,Philippines,PHL,01,Live animals,1,No Quantity,,,3550637,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,01,Live animals,1,No Quantity,,,5010007,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,620,Portugal,PRT,01,Live animals,1,No Quantity,,,14867,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,620,Portugal,PRT,01,Live animals,1,No Quantity,,,190327,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,634,Qatar,QAT,01,Live animals,1,No Quantity,,,71395,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,634,Qatar,QAT,01,Live animals,1,No Quantity,,,4684774,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,642,Romania,ROU,01,Live animals,1,No Quantity,,,270879,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,01,Live animals,1,No Quantity,,,4589587,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,670,Saint Vincent and the Grenadines,VCT,01,Live animals,1,No Quantity,,,22549,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,682,Saudi Arabia,SAU,01,Live animals,1,No Quantity,,,13887818,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,686,Senegal,SEN,01,Live animals,1,No Quantity,,,130631,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,688,Serbia,SRB,01,Live animals,1,No Quantity,,,92566,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,694,Sierra Leone,SLE,01,Live animals,1,No Quantity,,,44217,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,699,India,IND,01,Live animals,1,No Quantity,,,8963,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,01,Live animals,1,No Quantity,,,2402072,0
